# Name : VHPS_140_140_3.5_T3
# Stage: 1
# Units: length:mm angle:deg 
id,x,y,z
570,28.4132,52.0560,-16.2657
571,34.0388,52.1533,-16.0058
572,39.6960,52.2466,-15.8441
573,45.3481,52.3735,-15.6291
574,51.0096,52.4823,-15.4210
575,56.6752,52.5813,-15.1982
576,62.3595,52.7053,-15.0162
577,68.0501,52.8009,-14.8282
578,73.7296,52.9320,-14.5668
579,79.4372,53.0338,-14.3812
580,85.1523,53.1454,-14.1916
581,90.8733,53.2619,-13.9933
582,96.5995,53.3656,-13.7837
583,102.3331,53.4725,-13.5709
584,108.0700,53.5936,-13.3399
585,113.8301,53.7095,-13.1589
586,119.5936,53.7958,-12.9609
587,125.3588,53.9176,-12.7385
588,131.1856,54.0099,-12.6893
589,136.9231,54.1394,-12.3197
590,142.7146,54.2519,-12.0978
591,148.5175,54.3804,-11.8833
592,154.2964,54.5064,-11.5668
593,160.1831,54.6089,-11.5559
594,166.0051,54.7184,-11.3167
595,171.8354,54.8270,-11.0754
596,177.7008,54.9546,-10.9106
597,183.5387,55.0699,-10.6373
598,189.4048,55.1758,-10.4203
599,195.2778,55.2998,-10.1955
600,201.1680,55.4154,-9.9930
601,207.0657,55.5382,-9.7845
602,212.9673,55.6529,-9.5599
603,218.8920,55.7637,-9.3725
604,224.8029,55.8812,-9.1206
605,230.7236,55.9806,-8.8698
606,236.7570,56.1482,-8.8905
607,242.5253,56.3116,-8.1853
608,248.6027,56.3895,-8.2688
609,254.5745,56.4800,-8.0484
610,260.5784,56.6026,-7.8834
611,266.5085,56.6854,-7.5072
612,272.5040,56.8271,-7.2701
613,278.5839,56.9710,-7.2161
614,284.6068,57.0732,-6.9955
615,290.6639,57.1745,-6.8325
616,296.7382,57.3622,-6.6825
617,302.6786,57.4602,-6.1910
618,308.7887,57.5634,-6.0784
619,314.8700,57.6905,-5.8715
620,320.9595,57.8096,-5.6589
621,327.0317,57.9267,-5.3823
622,333.1424,58.0491,-5.1694
623,339.2720,58.1878,-4.9740
624,345.4144,58.3057,-4.7828
625,351.5132,58.4256,-4.4714
626,357.7446,58.5505,-4.4266
627,363.8616,58.6599,-4.1079
628,370.0149,58.8118,-3.8441
629,376.1863,58.9179,-3.5970
630,382.3783,59.0585,-3.3693
631,388.5091,59.1999,-2.9908
632,394.7716,59.2906,-2.8652
633,400.9736,59.4004,-2.5901
634,407.1660,59.4546,-2.2749
635,413.4077,59.6559,-2.0344
636,419.4512,59.7321,-1.3781
637,-363.5080,40.2439,-28.1669
638,-358.3410,40.2095,-30.7963
639,-353.1102,40.4241,-30.1912
640,-347.8832,40.5268,-30.1733
641,-342.6503,40.6033,-30.0992
642,-337.4118,40.6955,-29.9617
643,-332.1683,40.7822,-29.8059
644,-326.9200,40.8782,-29.6287
645,-321.6663,40.9740,-29.5250
646,-316.4093,41.0691,-29.2490
647,-311.1457,41.1595,-29.1394
648,-305.8816,41.2616,-28.7708
649,-300.6109,41.3299,-28.5491
650,-295.3298,41.4222,-28.5455
651,-290.0382,41.4942,-28.6985
652,-284.7617,41.6187,-28.1581
653,-279.4703,41.7013,-27.9667
654,-274.1725,41.8213,-27.8116
655,-268.8721,41.8975,-27.5992
656,-263.5671,41.9981,-27.3795
657,-258.2607,42.1014,-27.0930
658,-252.9424,42.1823,-26.9477
659,-247.6225,42.2624,-26.7376
660,-242.2943,42.3772,-26.5795
661,-236.9613,42.4749,-26.4141
662,-231.6345,42.5714,-26.0771
663,-226.2863,42.6537,-25.9839
664,-220.9342,42.7546,-25.8620
665,-215.5811,42.8453,-25.6796
666,-210.2145,42.9538,-25.5966
667,-204.8625,43.0437,-25.2707
668,-199.5009,43.1253,-25.0024
669,-194.1383,43.2534,-24.6894
670,-188.7443,43.3289,-24.6609
671,-183.3621,43.4161,-24.4438
672,-177.9814,43.5422,-24.1580
673,-172.5959,43.6436,-23.8719
674,-167.1723,43.7163,-23.8894
675,-161.7587,43.8546,-23.7520
676,-156.3538,43.9342,-23.4900
677,-150.9311,44.0341,-23.3312
678,-145.5087,44.1280,-23.1208
679,-140.0748,44.2330,-22.9551
680,-134.6485,44.3298,-22.6846
681,-129.2103,44.4001,-22.4633
682,-123.7556,44.5217,-22.3172
683,-118.3103,44.5881,-22.0617
684,-112.8534,44.6857,-21.8458
685,-107.3970,44.7946,-21.5851
686,-101.9122,44.8727,-21.4745
687,-96.4457,45.0143,-21.1998
688,-90.9505,45.0981,-21.0705
689,-85.4828,45.1829,-20.7306
690,-79.9730,45.3027,-20.6094
691,-74.4578,45.4215,-20.4787
692,-68.9687,45.4963,-20.1592
693,-63.4460,45.5894,-19.9957
694,-57.9227,45.6990,-19.7968
695,-52.4029,45.8692,-19.5405
696,-46.8298,45.8973,-19.5376
697,-41.3122,45.9839,-19.2013
698,-35.7594,46.1054,-19.0134
699,-30.2173,46.2093,-18.7371
700,-24.6351,46.2992,-18.6267
701,-19.0638,46.3917,-18.4264
702,-13.4910,46.4969,-18.1986
703,-7.9067,46.6118,-17.9917
704,-2.3238,46.7032,-17.7456
705,3.2882,46.8177,-17.5989
706,8.8823,46.9134,-17.3387
707,14.5043,47.0159,-17.1689
708,20.1179,47.1057,-16.9310
709,25.7610,47.2238,-16.7853
710,31.3870,47.3287,-16.5358
711,37.0394,47.4285,-16.3642
712,42.6924,47.5330,-16.1627
713,48.3489,47.6378,-15.9438
714,54.0199,47.7513,-15.7512
715,59.7073,47.8686,-15.5906
716,65.3775,47.9688,-15.3330
717,71.0629,48.0746,-15.1040
718,76.7551,48.1830,-14.8704
719,82.4797,48.2869,-14.7256
720,88.1859,48.4000,-14.4833
721,93.9263,48.5108,-14.3337
722,99.6560,48.6026,-14.1162
723,105.3895,48.7073,-13.8825
724,111.1393,48.8223,-13.6756
725,116.8967,48.9298,-13.4658
726,122.6723,49.0424,-13.2873
727,128.4372,49.1469,-13.0448
728,134.2278,49.2620,-12.8574
729,140.0073,49.3591,-12.6064
